"Support","Msaada"
"Login","Ingia"
"Status","Hali"
"Available Packages","Vifurushi Vilivyopo"
"Purchase a voucher at our local kiosks to enjoy premium high-speed access.","Nunua vocha katika vibanda vyetu vya mtaani ili kufurahia huduma ya kasi ya juu."
"Free Internet Access","Ufikiaji wa Bure wa Mtandao"
"Get 1 hour of free high-speed internet — no payment needed. One free session per device per day.","Pata saa 1 ya mtandao wa kasi wa bure — hakuna malipo yanayohitajika. Kipindi kimoja cha bure kwa kila kifaa kwa siku."
"Get Free Access","Pata Ufikiaji wa Bure"
"Voucher Code","Namba ya Vocha"
"Connect Now","Unganisha Sasa"
"Validate Only","Hakiki Tu"
"Welcome Back","Karibu Tena"
"Enter your voucher code to start your session.","Ingiza namba yako ya vocha ili kupata huduma ya internet"
"Network Status","Hali ya Mtandao"
"Active","Inafanya kazi"
"Buy Package","Nunua Kifurushi"
"Phone Number","Namba ya Simu"
"Cancel","Ghairi"
"Confirm","Thibitisha"
"Free - 1 Hour","Bure - Saa 1"
"Minutes","Dakika"
"Hours","Masaa"
"Days","Siku"
"Successful","Imefanikiwa"
"Failed","Imeshindwa"
"Cancelled","Imeghairiwa"
"Pending","Inasubiri"
"No packages available.","Hakuna vifurushi vilivyopo."
"No paid packages available.","Hakuna vifurushi vya malipo vilivyopo."
"Failed to load packages.","Imeshindwa kupakia vifurushi."
"Enter voucher code first.","Ingiza namba ya vocha kwanza."
"Voucher valid for plan","Vocha ni halali kwa kifurushi"
"Validation failed. Try again.","Uhakiki umeshindwa. Jaribu tena."
"Could not activate voucher.","Imeshindwa kuwasha vocha."
"Connection request failed.","Ombi la kuunganisha limefeli."
"Payment flow failed. Please try again.","Mchakato wa malipo umefeli. Tafadhali jaribu tena."
"Cannot detect your device. Please connect via the hotspot WiFi.","Hatuwezi kutambua kifaa chako. Tafadhali unganisha kupitia WiFi ya hotspot."
"Setting up your free access...","Tunaandaa ufikiaji wako wa bure..."
"Could not claim free access.","Imeshindwa kupata ufikiaji wa bure."
"Free access granted!","Ufikiaji wa bure umetolewa!"
"Something went wrong. Please try again.","Kuna tatizo limetokea. Tafadhali jaribu tena."
"USSD push sent. Approve on your phone, then waiting for confirmation...","USSD push imetumwa. Idhinisha kwenye simu yako, kisha subiri uthibitisho..."
"Payment confirmed. Granting internet access...","Malipo yamethibitishwa. Tunatoa ufikiaji wa mtandao..."
"Sending...","Inatuma..."
"Initiating USSD push...","Inaanzisha USSD push..."
"Enter a valid Tanzania number, e.g. 712345678.","Ingiza namba halali ya Tanzania, mfano 712345678."
"No package selected.","Hakuna kifurushi kilichochaguliwa."
"Voucher not found","Vocha haijapatikana"
"Voucher is valid","Vocha ni halali"
"Voucher activated","Vocha imewashwa"
"Free access granted! Enjoy your 1 hour of internet.","Ufikiaji wa bure umetolewa! Furahia saa 1 ya mtandao."
"You have already used your free access today. Come back tomorrow!","Tayari umetumia ufikiaji wako wa bure leo. Karibu tena kesho!"
"Unlimited data","Data bila kikomo"
"Up to {0}Mbps Speed","Kasi ya hadi {0}Mbps"
"High Speed Access","Mtandao ulio na kasi ya juu"
"POPULAR","MAARUFU"
"PACKAGE","KIFURUSHI"
"Buy","Nunua"
"TSh / {0}","TSh / {0}"
"Session Timeout (Minutes)","Muda wa Kikao (Dakika)"
"Data Limit (MB)","Kiwango cha Data (MB)"
"Voucher is {0}","Vocha {0}"
"Voucher plan is currently unavailable","Kifurushi cha vocha hakipatikani kwa sasa"
"Voucher is already active on another device","Vocha tayari inatumika kwenye kifaa kingine"
"Voucher is locked to another device","Vocha imefungwa kwenye kifaa kingine"
"Client MAC is required for this voucher","MAC ya kifaa inahitajika kwa vocha hii"
"Voucher is already bound to another client","Vocha tayari imefungwa kwa mteja mwingine"
"Unknown NAS device","Kifaa cha NAS hakijulikani"
"NAS device is disabled","Kifaa cha NAS kimezimwa"
"Missing NAS shared secret","Siri ya NAS haipo"
"Invalid NAS shared secret","Siri ya NAS siyo halali"
"Invalid or expired voucher code. Please try again.","Namba ya vocha siyo halali au imeisha muda wake. Tafadhali jaribu tena."
"Voucher is already active on another device","Vocha tayari inatumika kwenye kifaa kingine"
"Captive session detected","Kikao cha captive kimegunduliwa"
"Session is active.","Kikao kinafanya kazi."
"No active session.","Hakuna kikao kinachofanya kazi."
"Failed to load session status.","Imeshindwa kupakia hali ya kikao."
"Usage data will appear after session accounting updates.","Data ya matumizi itatokea baada ya sasisho za hesabu."
"Unlimited plan usage","Matumizi ya kifurushi bila kikomo"
"Unlimited plan.","Kifurushi bila kikomo."
"Connected","Imeunganishwa"
"Offline","Haikuunganishwa"
"Live","Mubashara"
"Session Status","Hali ya Kikao"
"Manage your active Wi-Fi connection in real-time","Simamia unganisho lako la Wi-Fi kwa wakati halisi"
"Active Session Details","Maelezo ya Kikao Kinachofanya Kazi"
"Connected via hotspot portal","Imeunganishwa kupitia portal ya hotspot"
"Session ID","ID ya Kikao"
"Start Time","Muda wa Kuanza"
"Expiry Time","Muda wa Kuisha"
"Device MAC","MAC ya Kifaa"
"Device IP","IP ya Kifaa"
"Usage (MB)","Matumizi (MB)"
"Remaining (MB)","Iliyobaki (MB)"
"Unlimited","Bila Kikomo"
"Need help with your session?","Unahitaji msaada na kikao chako?"
"Customer Support","Msaada wa Wateja"
"Usage Tips","Vidokezo vya Matumizi"
"Buy Data","Nunua Data"
"Session Ended","Kikao Kimeisha"
"Your internet session has expired. This happens when your allocated","Kikao chako cha mtandao kimeisha. Hii hutokea wakati muda wako uliotengwa"
"time","muda"
"or","au"
"data limit","kiwango cha data"
"has been reached.","umefikiwa."
"Back to Login","Rudi Kwenye Kuingia"
"Buy New Voucher","Nunua Vocha Mpya"
"Having trouble?","Unapata shida?"
"Contact Support","Wasiliana na Msaada"
"High Speed","Kasi ya Juu"
"Daily Plans","Vifurushi vya Kila Siku"
"Wide Coverage","Ufikiaji Mpana"
"Up to 50 Mbps","Hadi 50 Mbps"
"From 500 TZS","Kuanzia 500 TZS"
"Across Tanzania","Kote Tanzania"
"All rights reserved.","Haki zote zimehifadhiwa."
"Privacy Policy","Sera ya Faragha"
"Terms of Service","Masharti ya Huduma"
